instance, prediction
275,7.0
276,0.0
277,5.0
278,0.0
279,9.0
280,9.0
281,0.0
282,1.0
283,4.0
284,6.0
285,3.0
286,9.0
287,0.0
288,1.0
289,4.0
290,1.0
291,1.0
292,9.0
293,4.0
294,8.0
295,1.0
296,9.0
297,1.0
298,0.0
299,8.0
300,9.0
301,1.0
302,5.0
303,9.0
304,5.0
305,1.0
306,1.0
307,1.0
308,7.0
309,8.0
310,4.0
311,4.0
312,9.0
313,1.0
314,4.0
315,1.0
316,8.0
317,5.0
318,9.0
319,9.0
320,7.0
321,9.0
322,0.0
323,9.0
324,9.0
325,9.0
326,9.0
327,9.0
328,0.0
329,1.0
330,5.0
331,5.0
332,1.0
333,4.0
334,4.0
335,1.0
336,5.0
337,7.0
338,1.0
339,9.0
340,4.0
341,8.0
342,9.0
343,5.0
344,8.0
345,0.0
346,4.0
347,5.0
348,9.0
349,9.0
350,5.0
351,3.0
352,1.0
353,1.0
354,8.0
355,1.0
356,9.0
357,4.0
358,1.0
359,5.0
360,3.0
361,3.0
362,4.0
363,2.0
364,5.0
365,9.0
366,9.0
367,0.0
368,1.0
369,1.0
370,3.0
371,9.0
372,5.0
373,1.0
374,5.0
375,1.0
376,0.0
377,1.0
378,9.0
379,8.0
380,9.0
381,1.0
382,9.0
383,1.0
384,1.0
385,3.0
386,9.0
387,4.0
388,4.0
389,9.0
390,9.0
391,9.0
392,9.0
393,0.0
394,1.0
395,9.0
396,1.0
397,2.0
398,8.0
399,4.0
400,1.0
401,1.0
402,9.0
403,4.0
404,5.0
405,8.0
406,7.0
407,8.0
408,9.0
409,8.0
410,2.0
411,5.0
412,6.0
413,1.0
414,0.0
415,1.0
416,1.0
417,9.0
418,1.0
419,4.0
420,9.0
421,4.0
422,9.0
423,4.0
424,9.0
425,8.0
426,0.0
427,9.0
428,5.0
429,6.0
430,8.0
431,5.0
432,9.0
433,1.0
434,9.0
435,9.0
436,1.0
437,1.0
438,9.0
439,9.0
440,5.0
441,1.0
442,0.0
443,0.0
444,1.0
445,0.0
446,1.0
447,8.0
448,8.0
449,4.0
450,9.0
451,9.0
452,9.0
453,1.0
454,9.0
455,8.0
456,0.0
457,1.0
458,0.0
459,1.0
460,9.0
461,1.0
462,8.0
463,8.0
464,9.0
465,8.0
466,4.0
467,1.0
468,8.0
469,7.0
470,8.0
471,4.0
472,8.0
473,2.0
474,9.0
475,3.0
476,4.0
477,5.0
478,0.0
479,8.0
480,4.0
481,6.0
482,0.0
483,1.0
484,8.0
485,9.0
486,4.0
487,9.0
488,8.0
489,9.0
490,0.0
491,1.0
492,5.0
493,4.0
494,1.0
495,8.0
496,0.0
497,3.0
498,0.0
499,0.0
500,1.0
501,9.0
502,0.0
503,5.0
504,4.0
505,9.0
506,0.0
507,2.0
508,1.0
509,5.0
510,8.0
511,9.0
512,1.0
513,1.0
514,9.0
515,4.0
516,0.0
517,1.0
518,4.0
519,6.0
520,5.0

confusion matrix
44,3,1,0,3,0,1,0,1,2
2,112,0,5,3,1,0,0,2,0
0,0,7,0,2,1,0,0,2,3
0,3,0,9,1,1,0,1,0,0
4,2,1,1,26,2,1,0,1,12
1,0,0,1,5,41,0,0,0,7
0,0,2,0,2,1,7,0,2,1
0,1,0,0,0,0,0,13,1,0
3,1,0,1,1,0,0,0,42,2
2,2,1,0,9,10,0,0,2,99

precision, recall, f1-measure
0.79,0.80,0.79
0.90,0.90,0.90
0.58,0.47,0.52
0.53,0.60,0.56
0.50,0.52,0.51
0.72,0.75,0.73
0.78,0.47,0.58
0.93,0.87,0.90
0.79,0.84,0.82
0.79,0.79,0.79

accuracy, macro-average f-1, weighted-average f1
0.77,0.71,0.77
